epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.197,1.80486,3.09468,1.56556,0.47783,0.48948,0.50459,0.2473,1.63935,2.72653,1.47822,0.000331169,0.000331169,0.000331169
2,326.389,1.54879,2.01028,1.40734,0.65733,0.51959,0.63629,0.32198,1.5705,2.93468,1.53194,0.000657924,0.000657924,0.000657924
3,486.159,1.5138,1.77632,1.38842,0.63935,0.63034,0.65415,0.32712,1.58424,2.23276,1.55175,0.000978078,0.000978078,0.000978078
4,644.027,1.48836,1.61635,1.38531,0.70603,0.66112,0.7148,0.37999,1.52132,1.86117,1.43646,0.0009703,0.0009703,0.0009703
5,804.137,1.40731,1.4412,1.35069,0.61015,0.78766,0.81423,0.42994,1.44812,1.6209,1.34668,0.0009604,0.0009604,0.0009604
6,963.068,1.38377,1.34858,1.31799,0.72561,0.81208,0.80918,0.43741,1.41188,1.47158,1.35431,0.0009505,0.0009505,0.0009505
7,1122.44,1.36885,1.24526,1.31111,0.75925,0.78331,0.78121,0.44474,1.40568,1.34347,1.3811,0.0009406,0.0009406,0.0009406
8,1288.35,1.35985,1.19423,1.30484,0.85711,0.70129,0.81432,0.44774,1.36866,1.2521,1.34831,0.0009307,0.0009307,0.0009307
9,1468.01,1.33607,1.11692,1.29403,0.74409,0.82924,0.85629,0.49639,1.33265,1.21439,1.3398,0.0009208,0.0009208,0.0009208
10,1649.67,1.29849,1.0866,1.2682,0.88341,0.73545,0.83966,0.50021,1.29077,1.13609,1.28517,0.0009109,0.0009109,0.0009109
11,1831.62,1.29464,1.04734,1.26269,0.75259,0.83089,0.84812,0.49798,1.36593,1.10862,1.35685,0.000901,0.000901,0.000901
12,2013.18,1.28271,1.01417,1.24995,0.85492,0.75592,0.86919,0.50053,1.26804,1.02957,1.25474,0.0008911,0.0008911,0.0008911
13,2193.95,1.26158,0.98482,1.23676,0.78853,0.82281,0.86964,0.53115,1.29706,1.03005,1.2989,0.0008812,0.0008812,0.0008812
14,2375.62,1.25073,0.9695,1.25008,0.86956,0.73931,0.85919,0.52092,1.23945,0.99897,1.27617,0.0008713,0.0008713,0.0008713
15,2557.28,1.26058,0.95212,1.24048,0.93747,0.73744,0.86506,0.49577,1.3177,0.9722,1.25183,0.0008614,0.0008614,0.0008614
16,2739.03,1.2202,0.90457,1.22196,0.76757,0.8313,0.84731,0.51049,1.25628,0.95473,1.20575,0.0008515,0.0008515,0.0008515
17,2917.7,1.24226,0.92292,1.22565,0.78682,0.83768,0.86082,0.53043,1.25838,0.94159,1.24519,0.0008416,0.0008416,0.0008416
18,3098.51,1.20212,0.87496,1.21923,0.85251,0.84653,0.87457,0.53166,1.25962,0.92488,1.22687,0.0008317,0.0008317,0.0008317
19,3278.3,1.19772,0.91077,1.21133,0.75996,0.85387,0.85689,0.5145,1.25871,0.91537,1.24604,0.0008218,0.0008218,0.0008218
20,3469.41,1.20285,0.88199,1.21883,0.80594,0.84621,0.87836,0.53612,1.24717,0.90349,1.24969,0.0008119,0.0008119,0.0008119
21,3675.66,1.20515,0.87427,1.20505,0.76918,0.85426,0.89364,0.54134,1.22869,0.9402,1.2214,0.000802,0.000802,0.000802
22,3882.97,1.17705,0.86472,1.20798,0.81893,0.8382,0.87338,0.53917,1.23935,0.89779,1.23866,0.0007921,0.0007921,0.0007921
23,4050.86,1.18641,0.87267,1.21541,0.87286,0.84369,0.89808,0.55374,1.2404,0.86793,1.22967,0.0007822,0.0007822,0.0007822
24,4217.21,1.16481,0.84701,1.20942,0.80721,0.80976,0.87698,0.54386,1.17082,0.88463,1.20698,0.0007723,0.0007723,0.0007723
25,4376.36,1.18244,0.83914,1.19901,0.8516,0.86879,0.90027,0.55268,1.22964,0.85867,1.21115,0.0007624,0.0007624,0.0007624
26,4537.73,1.18001,0.82635,1.20075,0.82066,0.84025,0.87556,0.54939,1.18889,0.8486,1.2069,0.0007525,0.0007525,0.0007525
27,4699.88,1.1471,0.80685,1.18209,0.8491,0.83774,0.88132,0.55561,1.20068,0.85044,1.19128,0.0007426,0.0007426,0.0007426
28,4860.31,1.15545,0.82366,1.18904,0.80953,0.84474,0.89125,0.57456,1.20306,0.91403,1.23388,0.0007327,0.0007327,0.0007327
29,5021.98,1.16714,0.81921,1.18779,0.82361,0.85642,0.88746,0.56352,1.18057,0.83234,1.17951,0.0007228,0.0007228,0.0007228
30,5182.05,1.13785,0.80947,1.17966,0.88701,0.85818,0.92043,0.57832,1.18411,0.83562,1.19888,0.0007129,0.0007129,0.0007129
31,5342.49,1.13726,0.79997,1.19157,0.89343,0.86043,0.92447,0.57911,1.20846,0.79001,1.2172,0.000703,0.000703,0.000703
32,5504.54,1.13125,0.78402,1.17397,0.84885,0.8576,0.91155,0.56805,1.19312,0.84444,1.20832,0.0006931,0.0006931,0.0006931
33,5665.45,1.13358,0.79045,1.17426,0.83722,0.86085,0.89681,0.56718,1.20965,0.80204,1.20399,0.0006832,0.0006832,0.0006832
34,5825.96,1.14269,0.80252,1.18175,0.79977,0.86204,0.90469,0.55763,1.2339,0.86066,1.22863,0.0006733,0.0006733,0.0006733
35,5986.2,1.13955,0.79239,1.17562,0.88351,0.84414,0.91885,0.57285,1.19063,0.78931,1.21764,0.0006634,0.0006634,0.0006634
36,6147.36,1.12972,0.77185,1.18073,0.84536,0.88039,0.90063,0.57355,1.17183,0.77866,1.16603,0.0006535,0.0006535,0.0006535
37,6308.02,1.12374,0.7829,1.17022,0.84974,0.87621,0.91686,0.58802,1.16945,0.80027,1.15982,0.0006436,0.0006436,0.0006436
38,6470.07,1.13318,0.75548,1.17171,0.85351,0.86433,0.92236,0.59197,1.17529,0.78072,1.18224,0.0006337,0.0006337,0.0006337
39,6632.54,1.09596,0.76684,1.15647,0.82792,0.84925,0.9044,0.57755,1.18199,0.78666,1.18352,0.0006238,0.0006238,0.0006238
40,6793.35,1.10344,0.73701,1.16157,0.85179,0.84509,0.91372,0.58268,1.18348,0.75532,1.17955,0.0006139,0.0006139,0.0006139
41,6954.05,1.11419,0.75872,1.16451,0.85105,0.90243,0.91796,0.59307,1.16635,0.76134,1.17292,0.000604,0.000604,0.000604
42,7116.21,1.13092,0.75626,1.17892,0.85675,0.86805,0.90473,0.59494,1.13716,0.74326,1.16075,0.0005941,0.0005941,0.0005941
43,7277.52,1.08598,0.73586,1.1552,0.79768,0.88452,0.89326,0.57389,1.15608,0.77009,1.1778,0.0005842,0.0005842,0.0005842
44,7436.19,1.11071,0.73243,1.17086,0.8818,0.87244,0.93269,0.59434,1.16821,0.73814,1.18348,0.0005743,0.0005743,0.0005743
45,7597.36,1.09434,0.72015,1.15995,0.86957,0.86681,0.92526,0.58649,1.18455,0.74823,1.21086,0.0005644,0.0005644,0.0005644
46,7758.74,1.07857,0.72728,1.15058,0.87688,0.85661,0.92055,0.59965,1.14503,0.72871,1.16511,0.0005545,0.0005545,0.0005545
47,7919.81,1.07967,0.71681,1.15375,0.84843,0.83461,0.91942,0.60294,1.15127,0.75388,1.17606,0.0005446,0.0005446,0.0005446
48,8080.59,1.08782,0.7281,1.16414,0.87437,0.84774,0.92443,0.60432,1.13959,0.73515,1.162,0.0005347,0.0005347,0.0005347
49,8241.95,1.08231,0.73689,1.1409,0.88282,0.88345,0.92858,0.61425,1.12566,0.71789,1.1494,0.0005248,0.0005248,0.0005248
50,8402.21,1.0775,0.71994,1.14956,0.90205,0.88319,0.93811,0.60647,1.13222,0.72056,1.16329,0.0005149,0.0005149,0.0005149
51,8562.79,1.08229,0.71242,1.15023,0.89934,0.87993,0.92717,0.59969,1.14163,0.74572,1.17298,0.000505,0.000505,0.000505
52,8723.8,1.07878,0.70849,1.15016,0.86578,0.90879,0.9192,0.59997,1.13876,0.71432,1.16296,0.0004951,0.0004951,0.0004951
53,8884.23,1.05723,0.69465,1.13372,0.87644,0.89987,0.93923,0.61489,1.1294,0.70585,1.15039,0.0004852,0.0004852,0.0004852
54,9045.37,1.05635,0.70321,1.13957,0.85551,0.90033,0.92401,0.60871,1.12008,0.73227,1.1644,0.0004753,0.0004753,0.0004753
55,9205.36,1.06514,0.69457,1.13694,0.89018,0.89571,0.92966,0.61998,1.11366,0.70585,1.14253,0.0004654,0.0004654,0.0004654
56,9365.27,1.04589,0.67802,1.14102,0.90184,0.88326,0.93437,0.61794,1.12446,0.69468,1.15379,0.0004555,0.0004555,0.0004555
57,9525.16,1.05145,0.6758,1.13933,0.87992,0.89274,0.93752,0.61487,1.1339,0.71278,1.16037,0.0004456,0.0004456,0.0004456
58,9686.59,1.05395,0.6744,1.14153,0.9005,0.9017,0.93572,0.61866,1.12212,0.69945,1.15201,0.0004357,0.0004357,0.0004357
59,9847.21,1.06427,0.68923,1.13269,0.89355,0.89045,0.92405,0.59733,1.14426,0.71502,1.16273,0.0004258,0.0004258,0.0004258
60,10005.6,1.05355,0.68556,1.13429,0.9091,0.90933,0.93829,0.61474,1.11941,0.68733,1.15662,0.0004159,0.0004159,0.0004159
61,10165.3,1.06185,0.67895,1.13235,0.91188,0.88462,0.93423,0.6237,1.08784,0.68249,1.13265,0.000406,0.000406,0.000406
62,10326.2,1.04141,0.66844,1.12551,0.87888,0.91419,0.93874,0.62738,1.08798,0.68707,1.12883,0.0003961,0.0003961,0.0003961
63,10485.3,1.04687,0.66081,1.13377,0.90094,0.899,0.93668,0.61724,1.10509,0.69397,1.15612,0.0003862,0.0003862,0.0003862
64,10645,1.03381,0.66721,1.1291,0.87933,0.8936,0.93233,0.61616,1.1163,0.68189,1.15585,0.0003763,0.0003763,0.0003763
65,10806.5,1.03258,0.66441,1.12767,0.901,0.90863,0.94487,0.62627,1.11221,0.68468,1.15626,0.0003664,0.0003664,0.0003664
66,11005.2,1.02952,0.64932,1.119,0.92395,0.89734,0.94354,0.61969,1.10095,0.67099,1.14517,0.0003565,0.0003565,0.0003565
67,11236.6,1.03327,0.66106,1.11953,0.88884,0.91364,0.94742,0.63025,1.10086,0.68711,1.14687,0.0003466,0.0003466,0.0003466
68,11460.6,1.02174,0.64947,1.12098,0.9087,0.93365,0.95241,0.64538,1.09428,0.66261,1.13745,0.0003367,0.0003367,0.0003367
69,11683.3,1.02857,0.64429,1.11913,0.91748,0.92901,0.94921,0.63623,1.10892,0.65638,1.14914,0.0003268,0.0003268,0.0003268
70,11895.8,1.02664,0.65407,1.12701,0.90457,0.91318,0.94565,0.6365,1.07599,0.65736,1.1307,0.0003169,0.0003169,0.0003169
71,12104.4,1.00181,0.64635,1.11261,0.91003,0.92945,0.94273,0.63144,1.08569,0.65426,1.14047,0.000307,0.000307,0.000307
72,12326.8,1.02369,0.63575,1.11899,0.91591,0.90568,0.94951,0.63389,1.09547,0.64622,1.14161,0.0002971,0.0002971,0.0002971
73,12554.7,1.02066,0.63758,1.11562,0.91851,0.9069,0.94619,0.64184,1.08109,0.6457,1.13703,0.0002872,0.0002872,0.0002872
74,12776.1,1.01508,0.64059,1.11363,0.91663,0.91857,0.95254,0.64892,1.05858,0.63467,1.12699,0.0002773,0.0002773,0.0002773
75,12998.1,1.02139,0.64402,1.11476,0.92232,0.91685,0.94621,0.63982,1.08434,0.64359,1.13199,0.0002674,0.0002674,0.0002674
76,13229.2,1.00858,0.63362,1.12011,0.90245,0.94296,0.95643,0.6499,1.06482,0.63888,1.12321,0.0002575,0.0002575,0.0002575
77,13459.1,0.9894,0.62263,1.10496,0.91996,0.92143,0.95081,0.63649,1.07608,0.63386,1.13308,0.0002476,0.0002476,0.0002476
78,13686.2,1.00381,0.63025,1.11324,0.91752,0.93392,0.95646,0.64526,1.07684,0.62424,1.13752,0.0002377,0.0002377,0.0002377
79,13909.8,1.00211,0.6346,1.11086,0.90873,0.92095,0.95417,0.64514,1.08651,0.63356,1.13281,0.0002278,0.0002278,0.0002278
80,14134.3,1.00297,0.61579,1.10343,0.9104,0.94845,0.95604,0.6475,1.07171,0.63384,1.12211,0.0002179,0.0002179,0.0002179
81,14362.1,0.99129,0.61342,1.10508,0.91748,0.93725,0.95157,0.6467,1.07495,0.62254,1.12087,0.000208,0.000208,0.000208
82,14584.8,0.98517,0.60517,1.09858,0.9161,0.9561,0.96212,0.65761,1.06102,0.62504,1.12067,0.0001981,0.0001981,0.0001981
83,14811.4,0.99041,0.60724,1.11015,0.92972,0.89784,0.95809,0.65572,1.06033,0.62076,1.11741,0.0001882,0.0001882,0.0001882
84,15035.4,0.97689,0.6022,1.10418,0.92705,0.93051,0.96075,0.66136,1.04293,0.60424,1.10674,0.0001783,0.0001783,0.0001783
85,15261.9,0.98509,0.60723,1.10878,0.90358,0.95756,0.96438,0.66394,1.04394,0.6015,1.10518,0.0001684,0.0001684,0.0001684
86,15489,0.97375,0.60517,1.10303,0.92784,0.92726,0.96389,0.66079,1.05181,0.59889,1.10507,0.0001585,0.0001585,0.0001585
